Vehicle_Model,Mileage,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Odometer_Reading,Service_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status
SUV,33202,4,8,Petrol,Manual,12518,2,11.91281596,Good,Worn Out,New
Motorcycle,32700,5,4,Petrol,Manual,87800,9,16.88097768,New,Good,New
Truck,37777,4,5,Electric,Automatic,127740,8,17.21332782,Worn Out,New,Good
SUV,66067,1,9,Diesel,Manual,51222,10,14.04652945,Good,New,New
Truck,55518,4,8,Diesel,Automatic,19685,2,16.3676973,New,Worn Out,Weak
Truck,48586,2,10,Diesel,Manual,37758,10,16.36985783,Good,Good,New
Truck,43649,1,9,Petrol,Automatic,17963,4,17.98124935,New,New,Good
Truck,37573,1,9,Petrol,Manual,134071,3,13.50906245,Worn Out,New,Good
SUV,66627,1,4,Petrol,Manual,130759,9,12.10655606,New,Worn Out,Good
Truck,74757,3,3,Diesel,Manual,133394,9,13.3398306,New,Worn Out,New
Motorcycle,64175,5,9,Electric,Manual,10469,2,13.18937865,New,New,Good
Motorcycle,77181,4,9,Petrol,Manual,111257,6,10.89005681,New,Worn Out,Weak
Truck,48812,3,1,Electric,Manual,72926,8,17.31056142,Good,New,Weak
Motorcycle,58511,2,3,Electric,Automatic,131090,7,10.35389868,Worn Out,Good,Weak
Motorcycle,73244,5,5,Diesel,Automatic,131324,6,18.15882275,Good,New,Weak
Car,72696,2,2,Diesel,Manual,107864,6,19.53658872,New,Good,Good
Truck,57809,2,2,Diesel,Automatic,138481,4,10.06108464,New,Worn Out,Good
Motorcycle,47601,0,3,Petrol,Manual,79744,9,13.94104147,New,Worn Out,New
Motorcycle,31881,4,2,Electric,Manual,60539,4,12.018139,Good,Good,Good
Motorcycle,34015,1,2,Electric,Manual,113083,10,19.24628989,Good,Good,Weak
Motorcycle,37195,2,9,Diesel,Manual,88378,1,11.45087195,New,Good,Weak
Van,53431,3,10,Electric,Manual,64185,8,17.00122959,Good,Good,New
Bus,63839,1,10,Petrol,Manual,127210,7,15.67926324,New,Good,New
Bus,60009,4,10,Electric,Manual,133665,10,16.34421539,Good,New,New
Motorcycle,79634,5,9,Diesel,Automatic,128308,10,12.51446605,Good,Good,New
Motorcycle,67066,4,3,Petrol,Automatic,119681,2,15.80084495,Good,New,New
Van,57341,1,1,Diesel,Manual,95703,10,13.41283425,New,Good,Good
Truck,58631,5,8,Diesel,Manual,122883,8,11.89927125,Good,Good,Weak
Van,35933,5,7,Petrol,Automatic,75190,1,17.94613409,Worn Out,Worn Out,Weak
Van,49770,5,4,Petrol,Manual,141638,8,15.87249628,New,New,New
Motorcycle,55950,3,3,Electric,Manual,135675,10,11.37386001,Worn Out,Worn Out,Weak
Car,70999,3,1,Petrol,Automatic,129292,3,16.36594836,Good,New,Weak
Car,75317,4,1,Electric,Manual,15487,1,12.7761474,Good,New,Good
Truck,78018,5,6,Diesel,Automatic,30682,9,13.77292618,New,Worn Out,Weak
SUV,36869,5,5,Petrol,Automatic,62035,8,17.35323406,New,Good,New
Motorcycle,51458,4,6,Diesel,Automatic,97034,8,18.95259682,Worn Out,Worn Out,Weak
Truck,61408,4,5,Diesel,Manual,127492,7,13.99514701,Worn Out,Good,New
Truck,70448,5,4,Diesel,Manual,80546,5,11.10999527,Worn Out,Good,Weak
Van,59752,2,4,Petrol,Automatic,75029,2,15.75358034,Good,New,Good
Car,48087,5,3,Petrol,Automatic,101551,3,18.15257224,Good,Good,Good
Van,68912,4,7,Diesel,Automatic,62663,8,15.98611791,Worn Out,Good,New
Van,42461,4,6,Electric,Manual,129207,4,16.87200043,Good,Worn Out,New
Truck,30742,3,3,Electric,Automatic,84805,1,14.4652195,Good,New,New
Motorcycle,43603,0,4,Diesel,Automatic,135711,7,15.96006398,Good,New,Good
Van,56422,3,9,Diesel,Manual,13808,6,11.57422891,New,New,New
Bus,54305,3,8,Electric,Automatic,76189,2,19.41521489,Worn Out,Worn Out,Weak
Van,44627,2,4,Petrol,Manual,59745,5,19.26724364,Worn Out,Worn Out,Good
SUV,76781,5,8,Petrol,Manual,70919,10,11.69225072,Worn Out,Worn Out,Good
Car,36238,4,3,Electric,Manual,61001,9,17.07211948,Worn Out,Good,New
Motorcycle,46806,2,9,Diesel,Automatic,55707,6,16.00716986,Good,New,Weak
Van,37808,0,3,Petrol,Automatic,115557,4,19.57604581,Good,Good,Weak
Van,70553,2,10,Diesel,Manual,127037,10,17.83017581,Good,Good,Weak
Truck,73343,5,2,Electric,Manual,59857,6,15.75891889,New,New,New
Bus,46215,1,6,Diesel,Automatic,17543,8,15.69924494,Worn Out,New,New
Motorcycle,67261,2,8,Electric,Manual,42837,1,12.95565235,Good,New,Good
SUV,62166,3,2,Petrol,Automatic,138062,1,16.36493068,Worn Out,New,Weak
Van,31488,3,10,Electric,Manual,74876,1,16.29241727,Good,Worn Out,New
Motorcycle,58894,2,7,Electric,Automatic,31551,5,10.76768497,New,Worn Out,New
Truck,36051,2,9,Diesel,Automatic,29134,7,14.75172259,Worn Out,Worn Out,Good
Truck,36248,5,6,Diesel,Manual,130093,2,12.46221071,New,Worn Out,New
Motorcycle,71138,0,3,Electric,Manual,76175,6,13.06777929,New,New,Weak
SUV,50978,0,1,Electric,Automatic,3073,5,11.71089711,New,Good,New
Motorcycle,40622,5,10,Electric,Automatic,90079,1,17.49378873,Worn Out,New,Weak
Car,77026,0,5,Diesel,Manual,25259,10,16.09511449,Good,Worn Out,New
Motorcycle,31968,0,1,Diesel,Manual,35299,4,10.89489096,Worn Out,Good,Weak
Van,74433,4,10,Electric,Automatic,145679,1,19.21368016,New,New,Good
Car,45688,5,9,Electric,Manual,9054,9,18.04092205,Good,Worn Out,New
Car,78209,0,4,Diesel,Manual,45994,3,14.29670267,New,New,New
Van,51487,5,8,Diesel,Manual,29547,1,15.39548559,New,New,New
Car,52126,0,7,Electric,Manual,122153,1,11.05103022,Good,Worn Out,Weak
Car,49535,0,5,Electric,Automatic,31315,5,18.50074479,New,Good,New
Van,61045,0,7,Electric,Manual,23865,2,18.2975835,New,New,Weak
Motorcycle,60440,4,7,Petrol,Automatic,38684,6,13.57580582,Good,Good,Weak
Motorcycle,73210,0,9,Electric,Automatic,121122,9,15.62458257,Worn Out,Worn Out,Good
Bus,66445,3,5,Diesel,Manual,56231,9,15.6069447,Worn Out,Worn Out,New
Van,59388,5,4,Diesel,Manual,50472,10,18.9703131,Good,Worn Out,Good
Motorcycle,61888,5,5,Diesel,Manual,86279,5,19.51040896,New,Good,New
Car,45925,1,9,Electric,Automatic,12824,8,14.20390981,Worn Out,New,New
Bus,44497,5,9,Electric,Automatic,71520,4,14.78070381,New,Good,New
Bus,63165,0,10,Electric,Automatic,91664,8,16.76875122,New,New,Weak
Truck,45708,3,4,Electric,Manual,34131,1,11.94027019,Good,New,New
Motorcycle,77500,0,5,Petrol,Automatic,88644,1,19.07624331,New,New,New
Van,62600,4,5,Petrol,Manual,146131,6,16.89300595,New,Good,Weak
Motorcycle,44832,3,9,Electric,Automatic,55962,9,15.07604498,Good,Worn Out,New
Van,57006,4,8,Petrol,Manual,10882,7,10.48024961,New,Worn Out,Good
Van,56550,2,6,Diesel,Manual,133705,1,13.00780606,New,Worn Out,Weak
SUV,70380,4,1,Electric,Automatic,134871,4,18.28136077,Good,New,Weak
Car,50109,2,10,Petrol,Manual,36035,4,14.00890952,New,Good,Good
Car,61753,4,9,Diesel,Automatic,68697,7,14.4008156,Good,New,Weak
Van,61024,0,1,Electric,Automatic,56062,3,10.83736297,Worn Out,New,Good
SUV,42048,4,6,Petrol,Manual,60898,9,14.67771771,Good,New,New
Truck,77013,4,1,Petrol,Manual,18438,6,18.22658984,Good,New,New
Motorcycle,34841,2,1,Electric,Manual,146581,7,15.13607714,Good,New,New
SUV,65788,3,9,Diesel,Manual,28715,8,19.14749224,Good,New,Weak
Bus,61817,4,2,Diesel,Automatic,2514,1,11.85309816,Worn Out,Worn Out,Good
Car,40859,0,9,Petrol,Manual,74852,5,15.28847173,Good,Good,Good
Truck,32437,5,8,Petrol,Manual,149899,9,18.50856269,Worn Out,New,New
Bus,43461,1,3,Petrol,Manual,100130,5,11.1353155,Worn Out,Good,Good
Car,54933,5,3,Electric,Automatic,126785,3,15.43661305,New,Good,New
Van,68652,5,8,Petrol,Automatic,95998,10,16.33386785,Good,Worn Out,Good
Truck,38974,0,4,Diesel,Automatic,30505,2,11.58273673,New,New,Weak
Van,66083,2,6,Diesel,Automatic,42473,3,12.04829249,Worn Out,Worn Out,Weak
Truck,56494,4,2,Diesel,Automatic,17969,10,11.79798789,New,New,Weak
Van,63226,1,3,Petrol,Automatic,95599,3,10.33603947,New,Worn Out,Weak
Car,79405,1,10,Petrol,Manual,49788,8,10.15352987,Worn Out,New,Good
SUV,40971,0,9,Electric,Automatic,95175,4,14.2536901,Good,Good,New
Van,79067,4,3,Electric,Automatic,14634,3,12.78337855,Worn Out,Worn Out,New
SUV,40331,0,1,Petrol,Manual,34537,6,19.50256841,New,Good,Good
SUV,39585,2,9,Diesel,Manual,116506,5,14.90901955,Good,Good,New
Car,40411,5,9,Petrol,Manual,7201,2,19.56727018,Good,New,Weak
SUV,73400,1,4,Electric,Manual,143722,6,17.26720465,New,Worn Out,Weak
Van,35346,3,1,Diesel,Manual,15327,9,12.94298876,Good,Good,New
Car,45695,5,9,Diesel,Automatic,53660,8,18.77187052,Worn Out,Worn Out,Weak
Bus,71090,0,5,Petrol,Automatic,112579,9,16.921094,Good,Good,Good
SUV,65221,5,1,Diesel,Automatic,123366,10,13.89977218,Good,Worn Out,Weak
Van,63277,0,5,Petrol,Manual,113834,8,11.61964473,Worn Out,New,Weak
Car,57753,5,2,Electric,Automatic,69622,8,13.35529027,Worn Out,Good,Weak
Motorcycle,48894,5,5,Petrol,Manual,114101,7,13.37841235,New,Worn Out,New
Bus,76193,3,9,Petrol,Automatic,98733,4,12.96469802,Worn Out,New,Weak
Truck,30845,2,1,Petrol,Automatic,58024,7,15.99682466,New,Good,Weak
Motorcycle,40760,2,8,Petrol,Automatic,98842,9,12.09881671,Good,Worn Out,Weak
SUV,55600,2,5,Diesel,Automatic,42721,7,17.59173126,Worn Out,Good,Good
SUV,46380,0,3,Electric,Automatic,145079,2,14.33661455,New,Good,Weak
Bus,51248,1,6,Petrol,Manual,118666,2,14.85946698,Good,Good,Good
SUV,45427,1,9,Petrol,Automatic,8602,9,15.66278813,Worn Out,New,Weak
Truck,68744,5,7,Petrol,Manual,120218,10,17.44544976,Worn Out,Good,New
Van,34001,3,6,Electric,Manual,139702,8,12.26119383,Worn Out,New,Weak
Car,43023,3,6,Diesel,Automatic,46685,2,10.657794,New,Worn Out,Weak
Bus,46572,1,10,Petrol,Manual,99401,9,15.34112654,Worn Out,Worn Out,New
Motorcycle,63544,4,1,Petrol,Manual,123039,10,15.09247957,New,Worn Out,Weak
Truck,49183,1,5,Electric,Manual,35120,8,13.06811245,New,Good,Weak
Motorcycle,68317,5,5,Diesel,Manual,40997,2,16.29770399,New,New,Weak
Van,36296,4,6,Electric,Automatic,114921,7,19.26615996,Worn Out,New,Weak
SUV,34929,0,6,Petrol,Manual,111595,6,18.33459452,Good,New,Weak
Truck,32865,0,8,Petrol,Automatic,85667,3,15.02839675,New,Worn Out,Weak
Truck,51881,1,10,Diesel,Manual,53621,6,10.35284006,Good,Worn Out,Weak
Bus,47586,1,9,Diesel,Automatic,56365,5,12.78029994,Good,Good,Weak
Van,39971,4,2,Electric,Manual,48752,1,17.20891973,Worn Out,Good,Weak
SUV,54099,1,8,Electric,Automatic,5738,7,13.52863606,New,New,New
Motorcycle,37869,3,8,Diesel,Manual,148958,2,12.74973396,Worn Out,Worn Out,Weak
Car,62328,1,10,Electric,Manual,94775,4,19.49306721,Good,Worn Out,Good
SUV,59174,3,10,Diesel,Manual,25358,10,19.54663499,New,New,New
Van,37109,2,2,Petrol,Automatic,8367,1,11.88097642,Worn Out,New,Weak
Truck,64605,0,7,Electric,Manual,117210,9,15.36555823,Good,Good,New
SUV,32618,0,8,Electric,Automatic,134211,7,13.11660508,Good,Good,New
Car,39780,4,10,Petrol,Manual,42050,5,15.97813398,Worn Out,Worn Out,Weak
Motorcycle,62234,2,2,Petrol,Manual,126239,6,12.11790146,Good,New,New
SUV,39303,3,1,Electric,Manual,78181,1,13.98283661,Worn Out,Good,New
Bus,67670,4,6,Electric,Manual,39924,9,15.66001145,Worn Out,New,Good
Truck,32357,1,5,Electric,Automatic,14696,5,13.44818788,New,Worn Out,Weak
Car,38494,2,8,Electric,Automatic,52922,3,14.10036691,Good,New,Weak
Motorcycle,46752,1,4,Diesel,Manual,35982,5,18.19760036,Good,New,Weak
Bus,47174,2,8,Electric,Manual,120685,7,12.58881088,Good,New,New
Truck,51239,2,5,Petrol,Automatic,77785,8,15.25750554,Good,New,Good
Car,67696,3,4,Diesel,Automatic,23478,8,12.03439796,New,Good,New
Bus,72991,2,4,Electric,Automatic,128427,7,17.08857072,Good,Good,New
Truck,61753,0,9,Petrol,Manual,126401,4,18.75021249,New,Good,Weak
Motorcycle,35037,1,1,Diesel,Manual,40455,10,10.91380141,Good,New,Good
Bus,78114,4,2,Diesel,Manual,122659,10,14.21772739,Good,Good,New
Bus,39297,5,5,Electric,Automatic,82783,10,12.96154592,Good,Worn Out,New
SUV,60225,2,10,Electric,Manual,20177,4,15.11911545,Good,Worn Out,New
Bus,76740,5,1,Electric,Manual,33537,6,19.45552464,Good,New,Good
Bus,71952,3,10,Diesel,Manual,67069,3,18.26477286,New,Worn Out,New
SUV,53585,0,3,Petrol,Manual,4716,2,11.86420229,Worn Out,Good,Good
Truck,65337,2,1,Petrol,Automatic,61391,10,15.84615194,Worn Out,Worn Out,Good
Truck,55552,0,8,Petrol,Manual,94966,10,11.63570675,Good,Worn Out,New
Bus,46910,5,1,Diesel,Automatic,128852,8,12.78474985,New,Worn Out,Weak
SUV,60806,3,9,Petrol,Manual,9898,8,17.33342642,Good,New,Good
Car,50950,0,3,Petrol,Manual,39116,4,19.26290992,Worn Out,Good,Good
SUV,63912,5,5,Petrol,Manual,136246,4,17.49669548,New,Worn Out,New
Truck,56780,5,8,Diesel,Automatic,12970,1,19.5557918,Worn Out,Worn Out,New
Car,79610,4,2,Petrol,Manual,132715,4,17.70408762,New,Good,Weak
SUV,67394,4,7,Petrol,Manual,83080,9,13.19515721,New,Good,Weak
Van,63165,0,4,Petrol,Manual,61722,9,11.27309314,New,Worn Out,New
Car,30514,5,8,Diesel,Automatic,8243,6,14.33832038,Worn Out,Worn Out,New
SUV,50105,0,2,Diesel,Automatic,17610,4,12.36743662,New,Worn Out,New
Motorcycle,69055,1,9,Diesel,Automatic,56578,5,15.19369215,Good,Good,Weak
Bus,57968,0,8,Petrol,Automatic,109582,7,16.46894545,New,Good,New
Bus,35221,2,3,Diesel,Manual,10601,6,17.82206832,Good,Good,Weak
Van,42068,1,6,Petrol,Manual,1617,6,17.11924543,Good,Worn Out,Weak
Bus,71339,3,4,Electric,Manual,67205,8,10.51628613,Worn Out,Good,New
SUV,69012,2,1,Electric,Manual,35780,10,10.09863401,Good,Good,New
Motorcycle,76172,0,6,Diesel,Manual,18764,9,10.94467162,New,Worn Out,New
SUV,73096,2,2,Diesel,Manual,23591,9,10.83300952,New,Good,Weak
Car,55941,5,4,Petrol,Automatic,52655,9,14.53633257,New,Good,Weak
Bus,52054,3,1,Petrol,Automatic,1410,4,16.62808928,New,New,Good
Truck,79270,4,10,Electric,Automatic,66780,5,18.37114081,Good,Worn Out,New
Van,58580,4,10,Diesel,Manual,59337,9,10.8434823,Good,Worn Out,Weak
Bus,74319,4,3,Diesel,Automatic,47725,9,17.2814051,Good,New,Good
Car,53911,2,2,Electric,Manual,93995,1,18.65736401,Good,New,Good
Truck,68339,2,6,Petrol,Automatic,148313,4,11.940936,New,Worn Out,Good
Bus,60906,5,10,Electric,Automatic,64298,2,10.25066179,Good,New,Weak
Bus,40241,0,8,Diesel,Automatic,89395,2,19.27159744,Worn Out,Worn Out,Weak
Car,43722,4,2,Petrol,Automatic,133401,8,13.51139582,Good,Good,Weak
Bus,32088,3,3,Diesel,Automatic,11317,8,12.9484263,Good,Worn Out,Weak
Motorcycle,39964,3,6,Diesel,Automatic,105737,9,19.879914,Worn Out,New,Weak
Van,76388,0,2,Electric,Automatic,100179,4,10.20380729,New,Good,New
SUV,60746,2,9,Diesel,Manual,47382,6,16.48258966,Good,Worn Out,New
Van,51565,4,8,Electric,Manual,12787,5,14.32587799,Worn Out,New,Good
Motorcycle,78780,0,6,Petrol,Manual,33570,5,18.14839934,New,Good,New
Car,70818,0,4,Diesel,Manual,64052,4,17.56586804,New,Good,New
Van,48075,1,2,Diesel,Manual,79553,3,12.76199152,New,New,Good
Motorcycle,71445,0,6,Petrol,Automatic,22521,3,10.43762617,New,Good,Weak
Motorcycle,71711,0,9,Electric,Automatic,121836,2,15.11671258,New,Good,New
Motorcycle,54689,4,9,Diesel,Manual,100219,7,10.79391174,Good,New,Good
Motorcycle,64993,2,1,Electric,Automatic,40759,1,14.16954082,Worn Out,Worn Out,New
Motorcycle,37779,0,1,Diesel,Manual,72696,10,16.20202263,Good,Worn Out,New
Truck,56385,1,5,Petrol,Automatic,97041,1,16.76571544,Worn Out,New,Good
Motorcycle,41515,1,9,Electric,Manual,13912,8,10.91150681,Worn Out,Good,Weak
Truck,47717,5,8,Petrol,Manual,54261,9,14.60103136,Good,New,Weak
Motorcycle,70219,1,1,Electric,Manual,129323,10,17.1716906,Worn Out,Worn Out,Weak
Bus,32343,4,6,Electric,Manual,125139,2,14.08683357,Good,Good,Weak
SUV,33996,2,8,Electric,Manual,89565,3,15.43528724,Worn Out,Worn Out,Good
Bus,50983,4,1,Electric,Manual,85329,10,12.35959136,Good,Worn Out,Good
Motorcycle,65082,0,3,Electric,Manual,97142,8,19.76051383,Worn Out,New,Good
Truck,64983,2,4,Electric,Automatic,9017,3,10.57269315,Worn Out,Worn Out,Weak
Motorcycle,58881,5,8,Petrol,Manual,9095,7,11.56520113,Good,Worn Out,New
Car,50262,5,8,Electric,Automatic,86626,9,16.55747237,Good,New,Good
SUV,42619,4,9,Diesel,Manual,9031,10,14.24374461,Good,Good,Good
Car,36429,1,10,Electric,Automatic,30031,7,14.28738866,Worn Out,New,Good
SUV,52827,0,2,Petrol,Manual,133428,5,19.12474004,Good,Good,New
SUV,56631,1,9,Petrol,Manual,109720,10,13.42387049,New,Worn Out,New
Car,53347,1,2,Petrol,Automatic,115570,5,14.66262767,New,Worn Out,New
Truck,37870,2,7,Diesel,Automatic,104602,8,16.03986136,New,Good,Good
Car,72112,5,5,Petrol,Automatic,123359,8,19.87597137,New,Good,Good
Car,58636,0,9,Diesel,Manual,77846,7,16.41209031,New,Worn Out,New
Truck,55499,1,3,Petrol,Manual,137606,5,15.72393928,New,New,Weak
Bus,79290,2,3,Electric,Manual,53759,8,11.57043976,New,New,New
Motorcycle,70385,1,3,Electric,Automatic,73148,9,12.76420817,Worn Out,New,Weak
Bus,42153,3,5,Diesel,Manual,113304,3,16.27997614,New,Worn Out,Weak
Van,35212,1,7,Petrol,Manual,88534,5,17.96798083,Good,New,New
Bus,56879,5,7,Petrol,Automatic,103753,6,15.8746099,Worn Out,Worn Out,Good
Bus,76919,0,7,Petrol,Automatic,98860,6,11.11241867,Worn Out,Worn Out,New
Bus,64157,2,7,Petrol,Automatic,79783,3,15.2374272,Good,Worn Out,Good
Truck,79937,2,4,Diesel,Automatic,122056,10,19.90166184,Good,Good,Good
Van,32054,0,7,Electric,Automatic,57238,8,15.18649838,Good,Worn Out,Good
Car,72138,3,6,Electric,Automatic,7462,4,14.08682508,Good,Worn Out,New
Car,74569,3,1,Diesel,Automatic,109908,8,17.8503567,Worn Out,New,New
Bus,47657,2,8,Electric,Automatic,44886,8,10.53724692,Worn Out,New,New
Van,74865,5,4,Electric,Automatic,13172,9,16.0642904,Good,Worn Out,New
Truck,72360,0,6,Petrol,Automatic,141831,3,11.86595924,Good,Good,Good
Car,75145,5,10,Petrol,Automatic,97870,2,10.96042603,Good,New,Weak
SUV,53378,0,2,Petrol,Manual,22602,5,15.91555434,New,New,New
Bus,47872,1,6,Electric,Manual,71966,5,18.63992341,New,Worn Out,Good
Car,46154,5,4,Petrol,Manual,119314,2,13.66947793,Good,Worn Out,Good
Bus,63254,4,6,Petrol,Manual,107408,5,10.76152758,Good,Worn Out,New
Bus,52097,1,5,Electric,Automatic,135903,4,15.34504709,New,New,Weak
Truck,39658,1,3,Diesel,Automatic,91765,9,10.43117918,Worn Out,New,New
SUV,48523,4,5,Petrol,Manual,117296,3,18.2898525,Good,New,Good
Truck,73116,0,10,Diesel,Manual,139404,3,13.40452584,New,Worn Out,New
Truck,37503,0,6,Diesel,Automatic,88134,6,18.80973082,Good,Good,Weak
SUV,44092,1,9,Petrol,Manual,67024,8,11.9781099,Good,Worn Out,New
Truck,37857,3,7,Diesel,Manual,118631,10,18.12572652,Worn Out,Worn Out,Weak
Van,65094,4,4,Electric,Automatic,13534,3,16.43973322,Worn Out,Worn Out,Weak
SUV,73331,5,6,Diesel,Manual,35759,10,17.97558608,Good,Worn Out,New
Truck,50057,3,3,Electric,Manual,90229,5,12.40984105,New,New,Weak
Van,34146,3,4,Electric,Automatic,20101,3,12.21256252,Good,Worn Out,Weak
Van,77225,3,4,Diesel,Automatic,66153,6,13.72285957,New,Worn Out,New
Car,56025,2,10,Diesel,Automatic,146179,2,17.87415877,Worn Out,Good,Good
Bus,60351,1,6,Petrol,Automatic,120627,1,11.52864746,Worn Out,New,Weak
Car,68806,2,4,Petrol,Manual,112526,9,12.44198196,Worn Out,Worn Out,New
Truck,62646,4,3,Petrol,Automatic,87026,2,15.28117113,New,Worn Out,New
Bus,59402,4,3,Petrol,Automatic,5780,7,18.89747469,New,Worn Out,Good
Truck,45484,4,4,Electric,Manual,31908,5,12.00795378,New,New,Weak
Truck,62905,0,1,Diesel,Manual,2004,3,13.03381582,New,Worn Out,New
SUV,79096,3,4,Diesel,Manual,63133,5,19.85917805,New,New,New
Van,49180,2,10,Petrol,Automatic,38635,10,19.24046763,Good,Worn Out,Weak
Van,53622,2,4,Electric,Automatic,113167,9,18.11520261,Worn Out,Worn Out,Weak
Motorcycle,78756,5,5,Petrol,Manual,9150,3,14.948348,Good,New,Weak
SUV,55770,4,6,Petrol,Manual,115076,1,10.52604688,New,New,New
Truck,63108,5,5,Electric,Manual,51714,1,14.71146459,New,Worn Out,New
Van,60281,0,4,Petrol,Automatic,145246,7,14.36549755,Worn Out,Worn Out,Weak
Truck,33381,2,4,Electric,Automatic,94878,2,13.52696757,New,Worn Out,Good
Truck,63543,2,5,Petrol,Automatic,83760,2,15.4153714,Worn Out,New,New
SUV,79710,0,8,Electric,Manual,131010,4,11.7754263,New,Good,Good
Car,72678,3,1,Electric,Automatic,24405,6,19.0682973,Good,Good,New
Car,48162,0,4,Diesel,Manual,127875,3,14.91822697,Good,Worn Out,Weak
Bus,36419,4,8,Petrol,Automatic,85243,3,10.09485501,Worn Out,Worn Out,New
Car,74306,5,1,Petrol,Automatic,68713,6,16.05893689,Worn Out,New,Good
Car,34164,2,1,Diesel,Manual,71909,6,16.6211387,Worn Out,Worn Out,Good
Motorcycle,58783,1,5,Electric,Automatic,55050,7,17.38200019,Good,Good,Good
Bus,30559,4,5,Petrol,Automatic,3158,5,13.27883052,Worn Out,Worn Out,New
Truck,71720,3,5,Petrol,Manual,7675,9,12.75931443,Worn Out,New,Good
Van,37075,0,8,Electric,Manual,61632,5,19.29483659,Worn Out,Good,New
Bus,63524,1,3,Petrol,Automatic,38918,1,11.53381995,Worn Out,Good,New
Truck,33413,3,4,Diesel,Automatic,43827,8,17.40860287,New,Worn Out,Good
Car,36538,2,6,Diesel,Manual,78328,1,10.86270076,Worn Out,Good,Weak
SUV,70002,0,2,Diesel,Automatic,95744,4,19.7389302,Worn Out,Good,Weak
SUV,39374,1,9,Petrol,Manual,121824,7,11.21850296,New,Worn Out,New
Truck,52112,4,3,Petrol,Automatic,105814,3,16.98087366,Worn Out,Good,New
Car,46051,4,3,Diesel,Automatic,34911,5,13.49106301,Good,New,New
Truck,41741,4,8,Electric,Automatic,121868,6,11.82147941,New,New,Weak
Car,46449,4,1,Petrol,Automatic,116018,5,13.43702917,New,New,Weak
Van,66421,3,8,Diesel,Manual,49902,10,16.55917776,New,Good,Good
Van,32851,3,2,Electric,Automatic,51597,2,13.60078219,New,Worn Out,Good
Car,49870,0,6,Diesel,Manual,24408,4,15.10305763,Good,Good,Weak
Motorcycle,46457,5,10,Petrol,Automatic,74656,8,13.61558132,Worn Out,Good,Good
Truck,56915,1,10,Diesel,Automatic,109391,6,11.40077465,Worn Out,Worn Out,Good
SUV,69958,3,10,Petrol,Automatic,50181,5,13.49101511,New,New,Good
SUV,41070,3,1,Electric,Automatic,13340,5,18.88206567,New,Good,New
